en,zh,jp
"Trustoken is an intelligent API Key management service","Trustoken 是一个智能的 API Key 管理服务","TrustokenはインテリジェントなAPIキー管理サービスです"
"Auto get and manage API Key","自动获取和管理 API Key","APIキーの自動取得と管理"
"Support multiple LLM providers","支持多个 LLM 提供商","複数のLLMプロバイダーをサポート"
"Auto select optimal model","自动选择最优模型","最適なモデルの自動選択"
"Recommended for beginners, easy to configure and feature-rich","建议小白用户选择，配置方便、功能丰富","初心者におすすめ、設定が簡単で機能が豊富"
"Select other providers requires manual configuration","选择其它提供商需要手动配置","他のプロバイダーの選択には手動設定が必要です"
"Need to apply for API Key yourself","需要自行申请 API Key","APIキーを自分で申請する必要があります"
"Manually input API Key","手动输入 API Key","APIキーを手動で入力"
"Manually select model","手动选择模型","モデルを手動で選択"
"Trustoken Configuration","Trustoken 配置","Trustoken設定"
"API Key","API Key","APIキー"
"Auto open browser to get API Key","自动打开浏览器获取 API Key","ブラウザを自動で開いてAPIキーを取得"
"Current status","当前状态","現在の状態"
"Binding expired","绑定已过期","バインディングが期限切れ"
"Unknown status","未知状态","不明な状態"
"Waiting timeout","等待超时","待機タイムアウト"
"API Key obtained successfully!","API Key 获取成功！","APIキーの取得に成功しました！"
"API Key acquisition failed, please try again","API Key 获取失败，请重试","APIキーの取得に失敗しました、再度お試しください"
"Requesting binding","正在申请绑定","バインディングを申請中"
"Waiting for user confirmation","等待用户确认","ユーザー確認を待機中"
"Remaining time","剩余时间","残り時間"
"seconds","秒","秒"
"You can also click this link to open browser to get API Key","你也可以点击此链接打开浏览器获取API Key","このリンクをクリックしてブラウザでAPIキーを取得することもできます"
"Please get API Key first","请先获取API Key","まずAPIキーを取得してください"
"Available Models","请选择模型","利用可能なモデル"
"Temperature (%)","请输入 Temperature（0-1，默认：0.7）","Temperatureを入力してください（0-1、デフォルト：0.7）"
"Please select provider and input API Key, click Next to verify","请选择提供商并输入API Key，点击下一步验证","プロバイダーを選択し、APIキーを入力して、次へをクリックして検証してください"
"Please select model to use and configure parameters","请选择要使用的模型并配置参数","使用するモデルを選択し、パラメータを設定してください"
"Model list acquisition failed","无法获取模型列表，请检查 API Key 是否正确","モデルリストの取得に失敗しました、APIキーが正しいか確認してください"
"Hint","提示","ヒント"
"API Name","API名称","API名"
"Delete","删除","削除"
"Confirm Delete","确认删除","削除の確認"
"Are you sure to delete API","确定要删除API","APIを削除してもよろしいですか"
"Add API","新增API","APIを追加"
"Edit API","编辑API","APIを編集"
"API Key Settings","API密钥设置","APIキー設定"
"Add Environment Variable","添加环境变量","環境変数を追加"
"API Description","API描述","API説明"
"API Description Hint","提示: 描述支持多行文本，将以"""..."""格式保存","ヒント: 説明は複数行のテキストをサポートし、"""..."""形式で保存されます"
"Save","保存","保存"
"Variable Name","变量名","変数名"
"Value","值","値"
"Remove","移除","削除"
"Add","添加","追加"
"Refresh","刷新","更新"
"No API configured","暂无API配置","API設定がありません"
"API Details","API详情","API詳細"
"Close","关闭","閉じる"
"API configuration saved","API配置已保存","API設定が保存されました"
"Failed to save API configuration","保存API配置失败","API設定の保存に失敗しました"
"API configuration loaded","API配置已加载","API設定が読み込まれました"
"Failed to load API configuration","加载API配置失败","API設定の読み込みに失敗しました"
"API deleted","API已删除","APIが削除されました"
"Failed to delete API","删除API失败","APIの削除に失敗しました"
"API added","API已添加","APIが追加されました"
"Failed to add API","添加API失败","APIの追加に失敗しました"
"API updated","API已更新","APIが更新されました"
"Failed to update API","更新API失败","APIの更新に失敗しました"
"Support multiline text","支持多行文本","複数行テキストをサポート"
"You can only add two environment variables at most","最多只能添加两个环境变量","最大2つの環境変数しか追加できません"
"API Market - Manage Your API Configurations","API市场 - 管理您的API配置","APIマーケット - API設定の管理"
"Manage your API configurations here, including adding new APIs, viewing and editing existing ones.","在此处管理您的API配置，包括添加新API、查看和编辑现有API。","ここでAPI設定を管理できます。新しいAPIの追加、既存のAPIの表示と編集が含まれます。"
"Add New API","添加新API","新しいAPIを追加"
"Refresh List","刷新列表","リストを更新"
"Number of Keys","密钥数量","キーの数"
"Description","描述","説明"
"Tip: Right-click on API item to view, edit and delete","提示: 右键点击API项可进行查看、编辑和删除操作","ヒント: API項目を右クリックして、表示、編集、削除操作を行えます"
"Click ""Add New API"" button to add API configuration","点击""添加新API""按钮添加API配置","「新しいAPIを追加」ボタンをクリックしてAPI設定を追加"
"View Details","查看详情","詳細を表示"
"API name cannot be empty","API名称不能为空","API名は空にできません"
"API name already exists","API名称已存在","API名がすでに存在します"
"API configuration saved and applied","API配置已保存并应用","API設定が保存され、適用されました"
"Failed to save configuration","保存配置失败","設定の保存に失敗しました"
"Success","成功","成功"
"Environment Variables","环境变量","環境変数"
"Enter your API key","填写您的API密钥","APIキーを入力してください"
"API key description","API密钥描述","APIキー説明"
"Save and Apply","保存并应用","保存して適用"
"Click here for more information","点击这里获取更多信息","詳細についてはここをクリック"
"LLM Provider Configuration Wizard","LLM 提供商配置向导","LLMプロバイダー設定ウィザード"
"Select Model","请选择模型","モデルを選択"
"Trustoken uses automatic model selection","Trustoken 使用自动模型选择","Trustokenは自動モデル選択を使用"
"Configuration saved","配置已保存","設定が保存されました"
"Configuration loaded","配置已加载","設定が読み込まれました"
"Failed to load configuration","加载配置失败","設定の読み込みに失敗しました"
"Configuration applied","配置已应用","設定が適用されました"
"Failed to apply configuration","应用配置失败","設定の適用に失敗しました"
"Select other providers","请选择其它提供商","他のプロバイダーを選択"
"Starting LLM Provider Configuration Wizard","未找到 LLM 配置，开始配置 LLM 提供商","LLM設定が見つかりません、LLMプロバイダーの設定を開始"
"User cancelled configuration","用户取消配置","ユーザーが設定をキャンセルしました"
"https://aipy.app","https://www.aipyaipy.com","https://aipy.app"
"https://d.aipy.app","https://d.aipyaipy.com","https://d.aipy.app"
"https://d.aipy.app/d/13","https://d.aipyaipy.com/d/13","https://d.aipy.app/d/13"
"Share result","分享结果","結果を共有"
"Share failed","分享失败","共有に失敗しました"
"Share success","分享成功","共有に成功しました"
"Click the link below to view the task record","点击下方链接查看任务记录","以下のリンクをクリックしてタスク記録を表示"
"View task record","查看任务记录","タスク記録を表示"
"https://sapi.trustoken.ai/aio-api","https://api.trustoken.cn/aio-api","https://sapi.trustoken.ai/aio-api"
"Next","下一步","次へ"
"Back","上一步","戻る"
"Finish","完成","完了"
"Parameter","参数","パラメータ"
"Value","值","値"
"Current LLM","当前 LLM","現在のLLM"
"Python version","Python 版本","Pythonバージョン"
"Python base prefix","Python 基础前缀","Python基本プレフィックス"
"Tools","工具","ツール"
"Error decoding MCP config file {}: {}","解析 MCP 配置文件 {} 时出错: {}","MCP設定ファイル {} の解析エラー: {}"
"Current role","当前角色","現在の役割"
"Environment operations","环境变量操作","環境変数操作"
"List environment variables","列出环境变量","環境変数を一覧表示"
"Show available commands or detailed help for a specific command","显示可用命令或详细帮助","利用可能なコマンドまたは特定のコマンドの詳細ヘルプを表示"
"Command","命令","コマンド"
"Available commands","可用命令","利用可能なコマンド"
"LLM operations","LLM 操作","LLM操作"
"List LLM providers","列出 LLM 提供商","LLMプロバイダーを一覧表示"
"Use a LLM provider","使用 LLM 提供商","LLMプロバイダーを使用"
"Task operations","任务操作","タスク操作"
"List tasks","列出任务","タスクを一覧表示"
"Use a LLM or a role","使用 LLM 或角色","LLMまたは役割を使用"
"LLM name","LLM 名称","LLM名"
"Role name","角色名称","役割名"
"Switch LLM","切换 LLM","LLMを切り替え"
"MCP operations","MCP 操作","MCP操作"
"List MCP servers","列出 MCP 服务器","MCPサーバーを一覧表示"
"Enable MCP server","启用 MCP 服务器","MCPサーバーを有効化"
"Disable MCP server","禁用 MCP 服务器","MCPサーバーを無効化"
"MCP server name","MCP 服务器名称","MCPサーバー名"
"MCP server status","MCP 服务器状态","MCPサーバー状態"
"MCP server tools","MCP 服务器工具","MCPサーバーツール"
"MCP server tools count","MCP 服务器工具数量","MCPサーバーツールの数"
"MCP server tools list","MCP 服务器工具列表","MCPサーバーツールリスト"
"Or directly enter the question to be processed by AI, for example:\n>> Who are you?","或者直接输入需要 AI 处理的问题，例如：\n>> 你是谁？","または、AIに処理させる質問を直接入力してください、例：\n>> あなたは誰？"
